Date,Open,High,Low,Close,P/E,P/B,Div Yield %
09-11-2021,18084.35,18112.6,17983.05,18044.25,26.06,4.52,1.09
10-11-2021,17973.45,18061.25,17915,18017.2,26.03,4.51,1.09
11-11-2021,17967.45,17971.35,17798.2,17873.6,25.65,4.48,1.12
12-11-2021,17977.6,18123,17905.9,18102.75,25.98,4.53,1.11
15-11-2021,18140.95,18210.15,18071.3,18109.45,26,4.53,1.11
16-11-2021,18127.05,18132.65,17958.8,17999.2,24.83,4.51,1.11
17-11-2021,17939.35,18022.65,17879.25,17898.65,24.69,4.48,1.12
18-11-2021,17890.55,17945.6,17688.5,17764.8,24.51,4.45,1.13
22-11-2021,17796.25,17805.25,17280.45,17416.55,24.03,4.36,1.16
23-11-2021,17281.75,17553.7,17216.1,17503.35,24.15,4.38,1.15
24-11-2021,17550.05,17600.6,17354,17415.05,24.03,4.36,1.16
25-11-2021,17417.3,17564.35,17351.7,17536.25,24.19,4.39,1.15
26-11-2021,17338.75,17355.4,16985.7,17026.45,23.49,4.26,1.18
29-11-2021,17055.8,17160.7,16782.4,17053.95,23.53,4.27,1.18
30-11-2021,17051.15,17324.65,16931.4,16983.2,23.43,4.25,1.19
01-12-2021,17104.4,17213.05,17064.25,17166.9,23.68,4.3,1.17
02-12-2021,17183.2,17420.35,17149.3,17401.65,24.01,4.36,1.16
03-12-2021,17424.9,17489.8,17180.8,17196.7,23.73,4.31,1.17
06-12-2021,17209.05,17216.75,16891.7,16912.25,23.33,4.23,1.22
07-12-2021,17044.1,17251.65,16987.75,17176.7,23.69,4.3,1.2
08-12-2021,17315.25,17484.6,17308.95,17469.75,24.1,4.37,1.18
09-12-2021,17524.4,17543.25,17379.6,17516.85,24.16,4.39,1.17
10-12-2021,17476.05,17534.35,17405.25,17511.3,24.15,4.38,1.18
13-12-2021,17619.1,17639.5,17355.95,17368.25,23.96,4.35,1.18
14-12-2021,17283.2,17376.2,17225.8,17324.9,23.9,4.34,1.19
15-12-2021,17323.65,17351.2,17192.2,17221.4,23.75,4.31,1.2
16-12-2021,17373,17379.35,17184.95,17248.4,23.79,4.32,1.19
17-12-2021,17276,17298.15,16966.45,16985.2,23.43,4.25,1.19
20-12-2021,16824.25,16840.1,16410.2,16614.2,22.92,4.16,1.22
21-12-2021,16773.15,16936.4,16688.25,16770.85,23.13,4.2,1.2
22-12-2021,16865.55,16971,16819.5,16955.45,23.39,4.24,1.22
23-12-2021,17066.8,17118.65,17015.55,17072.6,23.55,4.27,1.22
24-12-2021,17149.5,17155.6,16909.6,17003.75,23.45,4.26,1.22
27-12-2021,16937.75,17112.05,16833.2,17086.25,23.57,4.28,1.21
28-12-2021,17177.6,17250.25,17161.15,17233.25,23.77,4.31,1.2
29-12-2021,17220.1,17285.95,17176.65,17213.6,23.74,4.31,1.21
30-12-2021,17201.45,17264.05,17146.35,17203.95,23.73,4.31,1.21
31-12-2021,17244.5,17400.8,17238.5,17354.05,24.11,4.37,1.19
03-01-2022,17387.15,17646.65,17383.3,17625.7,24.49,4.44,1.17
04-01-2022,17681.4,17827.6,17593.55,17805.25,24.74,4.49,1.16
05-01-2022,17820.1,17944.7,17748.85,17925.25,24.91,4.52,1.15
06-01-2022,17768.5,17797.95,17655.55,17745.9,24.66,4.47,1.16
07-01-2022,17797.6,17905,17704.55,17812.7,24.75,4.49,1.16
10-01-2022,17913.3,18017.45,17879.15,18003.3,25.01,4.54,1.14
11-01-2022,17997.75,18081.25,17964.4,18055.75,25.09,4.55,1.14
12-01-2022,18170.4,18227.95,18128.8,18212.35,25.3,4.59,1.13
13-01-2022,18257,18272.25,18163.8,18257.8,25.37,4.6,1.13
14-01-2022,18185,18286.95,18119.65,18255.75,25.3,4.6,1.12
17-01-2022,18235.65,18321.55,18228.75,18308.1,25.37,4.61,1.12
18-01-2022,18337.2,18350.95,18085.9,18113.05,25,4.56,1.13
19-01-2022,18129.2,18129.2,17884.9,17938.4,24.76,4.52,1.15
20-01-2022,17921,17943.7,17648.45,17757,24.47,4.47,1.18
21-01-2022,17613.7,17707.6,17485.85,17617.15,24.29,4.44,1.18
24-01-2022,17575.15,17599.4,16997.85,17149.1,23.63,4.32,1.21
25-01-2022,17001.55,17309.15,16836.8,17277.95,23.47,4.35,1.2
27-01-2022,17062,17182.5,16866.75,17110.15,23.09,4.31,1.21
28-01-2022,17208.3,17373.5,17077.1,17101.95,23.1,4.31,1.21
31-01-2022,17301.05,17410,17264.15,17339.85,23.42,4.37,1.2
01-02-2022,17529.45,17622.4,17244.55,17576.85,23.62,4.43,1.18
02-02-2022,17706.2,17794.6,17674.8,17780,23.95,4.48,1.17
03-02-2022,17767.75,17781.15,17511.15,17560.2,23.65,4.42,1.21
04-02-2022,17590.2,17617.8,17462.55,17516.3,23.56,4.41,1.21
07-02-2022,17456.3,17536.75,17119.4,17213.6,23.11,4.34,1.23
08-02-2022,17279.85,17306.45,17043.65,17266.75,22.83,4.35,1.23
09-02-2022,17370.1,17477.15,17339,17463.8,23.09,4.4,1.2
10-02-2022,17554.1,17639.45,17427.15,17605.85,22.98,4.44,1.2
11-02-2022,17451,17454.75,17303,17374.75,22.68,4.38,1.2
14-02-2022,17076.15,17099.5,16809.65,16842.8,21.85,4.24,1.3
15-02-2022,16933.25,17375,16839.25,17352.45,22.36,4.37,1.25
16-02-2022,17408.45,17490.6,17257.7,17322.2,22.27,4.36,1.28
17-02-2022,17396.55,17442.9,17235.85,17304.6,22.25,4.36,1.25
18-02-2022,17236.05,17380.8,17219.2,17276.3,22.21,4.35,1.25
21-02-2022,17192.25,17351.05,17070.7,17206.65,22.12,4.34,1.29
22-02-2022,16847.95,17148.55,16843.8,17092.2,21.97,4.31,1.24
23-02-2022,17194.5,17220.7,17027.85,17063.25,21.94,4.3,1.24
24-02-2022,16548.9,16705.25,16203.25,16247.95,20.89,4.09,1.3
25-02-2022,16515.65,16748.8,16478.3,16658.4,21.42,4.2,1.27
28-02-2022,16481.6,16815.9,16356.3,16793.9,21.59,4.23,1.26
02-03-2022,16593.1,16678.5,16478.65,16605.95,21.35,4.18,1.27
03-03-2022,16723.2,16768.95,16442.95,16498.05,21.21,4.16,1.28
04-03-2022,16339.45,16456,16133.8,16245.35,20.89,4.09,1.3
07-03-2022,15867.95,15944.6,15711.45,15863.15,20.39,4,1.33
08-03-2022,15747.75,16028.75,15671.45,16013.45,20.59,4.03,1.31
09-03-2022,16078,16418.05,15990,16345.35,21.01,4.12,1.28
10-03-2022,16757.1,16757.3,16447.9,16594.9,21.34,4.18,1.26
11-03-2022,16528.8,16694.4,16470.9,16630.45,21.38,4.19,1.26
14-03-2022,16633.7,16887.95,16606.5,16871.3,21.69,4.25,1.24
15-03-2022,16900.65,16927.75,16555,16663,21.42,4.2,1.24
16-03-2022,16876.65,16987.9,16837.85,16975.35,21.82,4.28,1.22
17-03-2022,17202.9,17344.6,17175.75,17287.05,22.23,4.36,1.2
21-03-2022,17329.5,17353.35,17096.4,17117.6,22.01,4.31,1.21
22-03-2022,17120.4,17334.4,17006.3,17315.5,22.26,4.36,1.2
23-03-2022,17405.05,17442.4,17199.6,17245.65,22.17,4.35,1.19
24-03-2022,17094.95,17291.75,17091.15,17222.75,22.14,4.34,1.19
25-03-2022,17289,17294.9,17076.55,17153,22.05,4.32,1.19
28-03-2022,17181.85,17235.1,17003.9,17222,22.14,4.34,1.19
29-03-2022,17297.2,17343.65,17235.7,17325.3,22.27,4.37,1.18
30-03-2022,17468.15,17522.5,17387.2,17498.25,22.5,4.41,1.17
31-03-2022,17519.2,17559.8,17435.2,17464.75,22.92,4.46,1.13
01-04-2022,17436.9,17703.7,17422.7,17670.45,23.19,4.51,1.12
04-04-2022,17809.1,18114.65,17791.4,18053.4,23.69,4.61,1.1
05-04-2022,18080.6,18095.45,17921.55,17957.4,23.57,4.59,1.11
06-04-2022,17842.75,17901,17779.85,17807.65,23.37,4.55,1.12
07-04-2022,17723.3,17787.5,17623.7,17639.55,23.15,4.51,1.13
08-04-2022,17698.15,17842.75,17600.55,17784.35,23.34,4.54,1.11
11-04-2022,17740.9,17779.05,17650.95,17674.95,23.2,4.52,1.12
12-04-2022,17584.85,17595.3,17442.35,17530.3,23.01,4.48,1.13
13-04-2022,17599.9,17663.65,17457.4,17475.65,22.92,4.46,1.13
18-04-2022,17183.45,17237.75,17067.85,17173.65,22.53,4.39,1.15
19-04-2022,17258.95,17275.65,16824.7,16958.65,22.1,4.33,1.16
20-04-2022,17045.25,17186.9,16978.95,17136.55,22.33,4.38,1.15
21-04-2022,17234.6,17414.7,17215.5,17392.6,22.67,4.44,1.14
22-04-2022,17242.75,17315.3,17149.2,17171.95,22.38,4.39,1.15
25-04-2022,17009.05,17054.3,16888.7,16953.95,22.03,4.33,1.17
26-04-2022,17121.3,17223.85,17064.45,17200.8,22.17,4.39,1.15
27-04-2022,17073.35,17110.7,16958.45,17038.4,21.96,4.35,1.16
28-04-2022,17189.5,17322.5,17071.05,17245.05,22.2,4.41,1.17
29-04-2022,17329.25,17377.65,17053.25,17102.55,22.01,4.37,1.16
02-05-2022,16924.45,17092.25,16917.25,17069.1,21.87,4.36,1.16
04-05-2022,17096.6,17132.85,16623.95,16677.6,21.31,4.26,1.19
05-05-2022,16854.75,16945.7,16651.85,16682.65,21.24,4.26,1.19
06-05-2022,16415.55,16484.2,16340.9,16411.25,20.89,4.19,1.21
09-05-2022,16227.7,16403.7,16142.1,16301.85,20.75,4.17,1.21
10-05-2022,16248.9,16404.55,16197.3,16240.05,20.42,4.15,1.22
11-05-2022,16270.05,16318.75,15992.6,16167.1,20.32,4.13,1.22
12-05-2022,16021.1,16041.95,15735.75,15808,19.87,4.04,1.35
13-05-2022,15977,16083.6,15740.85,15782.15,19.83,4.03,1.35
16-05-2022,15845.1,15977.95,15739.65,15842.3,19.72,4.05,1.35
17-05-2022,15912.6,16284.25,15900.8,16259.3,20.12,4.15,1.31
18-05-2022,16318.15,16399.8,16211.2,16240.3,20.09,4.15,1.31
19-05-2022,15917.4,15984.75,15775.2,15809.4,19.51,4.04,1.35
20-05-2022,16043.8,16283.05,16003.85,16266.15,20.05,4.16,1.31
23-05-2022,16290.95,16414.7,16185.75,16214.7,20.01,4.14,1.32
24-05-2022,16225.55,16262.8,16078.6,16125.15,19.87,4.12,1.32
25-05-2022,16196.35,16223.35,16006.95,16025.8,19.74,4.09,1.38
26-05-2022,16105,16204.45,15903.7,16170.15,19.88,4.13,1.44
27-05-2022,16296.6,16370.6,16221.95,16352.45,20.27,4.18,1.43
30-05-2022,16527.9,16695.5,16506.15,16661.4,20.65,4.26,1.4
31-05-2022,16578.45,16690.75,16521.9,16584.55,20.44,4.24,1.43
01-06-2022,16594.4,16649.2,16438.85,16522.75,20.45,4.22,1.44
02-06-2022,16481.65,16646.4,16443.05,16628,20.58,4.25,1.43
03-06-2022,16761.65,16793.85,16567.9,16584.3,20.52,4.24,1.41
06-06-2022,16530.7,16610.95,16444.55,16569.55,20.5,4.24,1.41
07-06-2022,16469.6,16487.25,16347.1,16416.35,20.31,4.2,1.43
08-06-2022,16474.95,16514.3,16293.35,16356.25,20.24,4.18,1.43
09-06-2022,16263.85,16492.8,16243.85,16478.1,20.39,4.21,1.43
10-06-2022,16283.95,16324.7,16172.6,16201.8,20.05,4.14,1.38
13-06-2022,15877.55,15886.15,15684,15774.4,19.52,4.03,1.38
14-06-2022,15674.25,15858,15659.45,15732.1,19.47,4.02,1.36
15-06-2022,15729.25,15783.65,15678.9,15692.15,19.42,4.01,1.45
16-06-2022,15832.25,15863.15,15335.1,15360.6,19.01,3.93,1.48
17-06-2022,15272.65,15400.4,15183.4,15293.5,18.92,3.91,1.46
20-06-2022,15334.5,15382.5,15191.1,15350.15,18.99,3.92,1.46
21-06-2022,15455.95,15707.25,15419.85,15638.8,19.35,4,1.44
22-06-2022,15545.65,15565.4,15385.95,15413.3,19.07,3.94,1.46
23-06-2022,15451.55,15628.45,15367.5,15556.65,19.25,3.98,1.44
24-06-2022,15657.4,15749.25,15619.45,15699.25,19.43,4.01,1.43
27-06-2022,15926.2,15927.45,15815.5,15832.05,19.59,4.05,1.41
28-06-2022,15757.45,15892.1,15710.15,15850.2,19.61,4.05,1.41
29-06-2022,15701.7,15861.6,15687.8,15799.1,19.55,4.04,1.38
30-06-2022,15774.5,15890,15728.85,15780.25,19.5,4.03,1.41
01-07-2022,15703.7,15793.95,15511.05,15752.05,19.46,4.02,1.41
04-07-2022,15710.5,15852.35,15661.8,15835.35,19.57,4.04,1.43
05-07-2022,15909.15,16025.75,15785.45,15810.85,19.54,4.04,1.42
06-07-2022,15818.2,16011.35,15800.9,15989.8,19.76,4.08,1.41
07-07-2022,16113.75,16150.5,16045.95,16132.9,19.93,4.12,1.4
08-07-2022,16273.65,16275.5,16157.9,16220.6,20.04,4,1.37
11-07-2022,16136.15,16248.55,16115.5,16216,20.03,3.91,1.37
12-07-2022,16126.2,16158.75,16031.15,16058.3,19.83,3.87,1.38
13-07-2022,16128.2,16140,15950.15,15966.65,19.72,3.85,1.39
14-07-2022,16018.85,16070.85,15858.2,15938.65,19.69,3.84,1.42
15-07-2022,16010.8,16066.95,15927.3,16049.2,19.82,3.87,1.38
18-07-2022,16151.4,16287.95,16142.2,16278.5,20.11,3.92,1.36
19-07-2022,16187.05,16359.5,16187.05,16340.55,20.18,3.94,1.37
